section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,138,1636035515176532914,1636035515392531914,215,true,2480,1057
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,139,1636035515416729914,1636035515892500914,475,true,2620,1160
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,140,1636035515992514914,1636035516308532914,316,true,1097,986
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,141,1636035516332485914,1636035516844520914,512,true,849,890
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,142,1636035516876488914,1636035517561399914,684,true,1058,998
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,143,1636035517592495914,1636035518016501914,424,true,836,916
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,144,1636035518060532914,1636035518336638914,276,true,1441,1159
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,145,1636035518380493914,1636035518700557914,320,true,1141,863
21227327-b8d8-4f1a-ac68-5fc6eefe8bf4,54a0deee-23dd-48f4-806e-6fdb519d6a7c,146,1636035518744503914,1636035519252513914,508,true,1405,1172
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,150,1635864116702111439,1635864117302104439,599,true,2321,1505
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,151,1635864117346095439,1635864117890092439,543,true,1833,1714
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,152,1635864118302146439,1635864119166105439,863,true,2545,1181
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,153,1635864119234145439,1635864119562090439,327,true,2764,2512
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,154,1635864119610115439,1635864119794124439,184,true,2265,1798
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,155,1635864119846101439,1635864120338292439,492,true,2622,1198
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,156,1635864120378277439,1635864120794106439,415,true,2130,1184
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,157,1635864120862171439,1635864121478104439,615,true,1558,1488
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,158,1635864121534136439,1635864122138140439,604,true,2363,1090
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,159,1635864122170104439,1635864123274112439,1104,true,2560,1297
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,160,1635864123302160439,1635864123602181439,300,true,2449,1145
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,161,1635864123654115439,1635864123842132439,188,true,1905,1138
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,162,1635864123886108439,1635864124158099439,271,true,1632,1096
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,163,1635864124186106439,1635864124410124439,224,true,1507,1086
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,164,1635864124462090439,1635864124678132439,216,true,1220,1094
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,165,1635864124714112439,1635864125226281439,512,true,1375,1488
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,166,1635864125318138439,1635864125562130439,243,true,2448,1143
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,167,1635864125598138439,1635864125842102439,243,true,2765,1267
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,168,1635864125898198439,1635864126234190439,335,true,3276,1235
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,169,1635864126290158439,1635864126454101439,163,true,2645,1149
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,170,1635864126486091439,1635864126738169439,252,true,2474,1043
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,171,1635864126778155439,1635864127074105439,295,true,2156,1050
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,172,1635864127122109439,1635864127786101439,663,true,2590,1218
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,173,1635864127818110439,1635864128226125439,408,true,2519,1475
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,174,1635864128290128439,1635864128494144439,204,true,1914,1671
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,175,1635864128534093439,1635864128722146439,188,true,1580,1584
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,176,1635864128762148439,1635864129078203439,316,true,1290,1600
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,177,1635864129134128439,1635864129370109439,235,true,1173,2209
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,178,1635864129418126439,1635864130434159439,1016,true,1394,1428
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,179,1635864130466105439,1635864130630108439,164,true,1462,1570
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,180,1635864130710108439,1635864130874125439,164,true,2293,1207
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,181,1635864130894102439,1635864131246111439,352,true,2430,1076
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,182,1635864131290138439,1635864131898130439,607,true,2682,1274
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,183,1635864132070122439,1635864132402119439,331,true,2784,1551
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,184,1635864132446100439,1635864132898170439,452,true,3020,1629
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,185,1635864132938102439,1635864133118193439,180,true,2589,1358
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,186,1635864133162109439,1635864133402107439,239,true,2368,1145
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,187,1635864133478093439,1635864133694225439,216,true,1556,1233
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,188,1635864133870131439,1635864134186135439,316,true,1172,1175
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,189,1635864134230106439,1635864134494112439,264,true,1323,1513
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,190,1635864134526122439,1635864134662156439,136,true,1429,1632
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,191,1635864134734121439,1635864134942108439,207,true,2239,1245
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,192,1635864134974088439,1635864135610108439,636,true,2606,1238
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,193,1635864135638092439,1635864135898099439,260,true,2949,1372
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,194,1635864135930104439,1635864136286110439,356,true,3048,1602
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,195,1635864136314077439,1635864136582219439,268,true,2961,1402
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,196,1635864136618643439,1635864136862085439,243,true,3125,1541
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,197,1635864136910078439,1635864137198097439,288,true,2644,1362
